question,worker,answer
20002_clueweb09-en0001-31-15410,w1,0
20002_clueweb09-en0000-66-24091,w2,1
20002_clueweb09-en0001-31-15410,w2,1
20002_clueweb09-en0000-05-22942,w2,0
20002_clueweb09-en0006-85-33191,w2,3
20002_clueweb09-en0001-31-15410,w3,2
20002_clueweb09-en0006-85-33191,w3,0
20002_clueweb09-en0000-66-24091,w4,2
20002_clueweb09-en0000-05-22943,w4,1
20002_clueweb09-en0001-31-15410,w5,2
20002_clueweb09-en0000-05-22942,w5,1
20002_clueweb09-en0001-69-06149,w1,1
20002_clueweb09-en0001-88-11661,w1,1
20002_clueweb09-en0001-52-00915,w1,1
20002_clueweb09-en0006-85-33194,w1,2
20002_clueweb09-en0001-82-29492,w3,0
20002_clueweb09-en0001-52-00915,w3,2
20002_clueweb09-en0006-85-33194,w3,3
20002_clueweb09-en0001-69-06149,w6,2
20002_clueweb09-en0001-82-29492,w6,0
20002_clueweb09-en0001-52-00915,w6,2
20002_clueweb09-en0001-88-11661,w7,0
20002_clueweb09-en0006-85-33194,w8,2
20002_clueweb09-en0006-85-33174,w1,2
20002_clueweb09-en0001-94-28919,w1,0
20002_clueweb09-en0002-00-10521,w1,0
20002_clueweb09-en0001-89-32957,w2,0
20002_clueweb09-en0006-85-33174,w2,0
20002_clueweb09-en0001-94-28919,w2,0
20002_clueweb09-en0002-43-06897,w3,1
20002_clueweb09-en0006-85-33174,w3,0
20002_clueweb09-en0002-43-06897,w6,1
20002_clueweb09-en0002-00-10521,w6,1
20002_clueweb09-en0002-43-06897,w9,0
20002_clueweb09-en0002-00-10521,w9,0
20002_clueweb09-en0002-45-00234,w10,0
20002_clueweb09-en0003-07-26869,w10,0
20002_clueweb09-en0002-87-33611,w1,1
20002_clueweb09-en0002-45-00234,w11,1
20002_clueweb09-en0003-31-21696,w11,0
20002_clueweb09-en0003-07-26869,w11,0
20002_clueweb09-en0003-07-26869,w3,0
20002_clueweb09-en0006-85-33145,w3,0
20002_clueweb09-en0002-87-33611,w3,0
20002_clueweb09-en0002-45-00234,w6,2
20002_clueweb09-en0003-31-21696,w6,2
20002_clueweb09-en0003-07-26869,w6,0
20002_clueweb09-en0006-85-33145,w6,0
20002_clueweb09-en0009-33-8213,w1,3
20002_clueweb09-en0003-63-04771,w1,0
20002_clueweb09-en0004-03-39899,w1,0
20002_clueweb09-en0004-65-06653,w3,0
20002_clueweb09-en0004-89-03216,w3,0
20002_clueweb09-en0003-63-04771,w3,1
20002_clueweb09-en0004-03-39899,w3,1
20002_clueweb09-en0004-89-03216,w6,1
20002_clueweb09-en0003-63-04771,w6,1
20002_clueweb09-en0004-65-06653,w12,0
20002_clueweb09-en0004-89-03216,w12,0
20002_clueweb09-en0009-33-8213,w12,3
20002_clueweb09-en0003-63-04771,w12,1
20002_clueweb09-en0004-65-06653,w8,2
20002_clueweb09-en0004-89-03216,w8,2
20002_clueweb09-en0004-03-39899,w8,2
